"Course Sections Id","Sec Name","Course Sec Meeting Id","Csm Start Date","Csm End Date","Csm Bldg","Csm Room","Csm Start Time","Csm End Time","Csm Monday","Csm Tuesday","Csm Wednesday","Csm Thursday","Csm Friday","Csm Saturday","Csm Sunday","Csm Frequency","Sec Status","Csm Days"
"98860","MATH-321-B","59879","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","113","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98861","MATH-327-A","59880","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","113","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98862","MATH-351-A","59881","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","113","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"98865","MATH-471-A","59882","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","108","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98866","MATH-490-A","59883","2016/08/31 00:00:00","2016/12/15 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"99420","MATH-339-A","59884","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","108","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"99291","PSYC-349-A","59885","2016/08/31 00:00:00","2016/10/13 00:00:00","VALD","349","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"99292","PSYC-350-A","59886","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","350","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"99293","PSYC-350-B","59887","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","350","1900/01/01 12:45:00","1900/01/01 14:15:00","","Y","","Y","","","","W","A","TR"
"99294","PSYC-354-A","59888","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","349","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"99295","PSYC-354L-A01","59889","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","345","1900/01/01 12:45:00","1900/01/01 15:00:00","","Y","","","","","","W","A","T"
"99296","PSYC-354L-A02","59890","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","345","1900/01/01 12:45:00","1900/01/01 15:00:00","","","","Y","","","","W","A","R"
"99421","PSYC-353-A","59891","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","349","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"99422","PSYC-353L-A","59892","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","350","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","","","","","W","A","T"
"99423","PSYC-353L-B","59893","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","345","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","","","","","W","A","T"
"99301","PSYC-465-A","59894","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","349","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"99302","PSYC-465-B","59895","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","349","1900/01/01 14:30:00","1900/01/01 16:00:00","","Y","","Y","","","","W","A","TR"
"99304","PSYC-490-A","59896","2016/08/31 00:00:00","2016/12/15 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"99424","PSYC-270-A","59897","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","349","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"98820","IS-485-A","59898","2016/08/31 00:00:00","2016/12/15 00:00:00","LARS","120","1900/01/01 18:30:00","1900/01/01 21:30:00","Y","","","","","","","W","A","M"
"98581","CHEM-151-A","59899","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","362","1900/01/01 08:00:00","1900/01/01 09:00:00","Y","","Y","","Y","","","W","A","MWF"
"98582","CHEM-151-B","59900","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","362","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"98583","CHEM-151-C","59901","2016/08/31 00:00:00","2016/12/15 00:00:00","OLIN","102","1900/01/01 13:30:00","1900/01/01 14:30:00","Y","","Y","","Y","","","W","A","MWF"
"98821","IS-490-A","59902","2016/08/31 00:00:00","2016/12/15 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"98584","CHEM-151L-01","59903","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","372","1900/01/01 14:45:00","1900/01/01 16:45:00","Y","","","","","","","W","A","M"
"98585","CHEM-151L-02","59904","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","233","1900/01/01 11:30:00","1900/01/01 13:30:00","","Y","","","","","","W","A","T"
"98586","CHEM-151L-03","59905","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","372","1900/01/01 11:00:00","1900/01/01 13:00:00","","Y","","","","","","W","A","T"
"98587","CHEM-151L-04","59906","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","372","1900/01/01 13:45:00","1900/01/01 15:45:00","","Y","","","","","","W","A","T"
"98588","CHEM-151L-05","59907","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","233","1900/01/01 14:30:00","1900/01/01 16:30:00","","Y","","","","","","W","A","T"
"98589","CHEM-151L-06","59908","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","372","1900/01/01 15:00:00","1900/01/01 17:00:00","","","Y","","","","","W","A","W"
"98590","CHEM-151L-07","59909","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","372","1900/01/01 07:30:00","1900/01/01 09:30:00","","","","Y","","","","W","A","R"
"98591","CHEM-151L-08","59910","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","372","1900/01/01 11:00:00","1900/01/01 13:00:00","","","","Y","","","","W","A","R"
"98592","CHEM-151L-09","59911","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","372","1900/01/01 14:30:00","1900/01/01 16:30:00","","","","Y","","","","W","A","R"
"98593","CHEM-201-A","59912","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","367","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98594","CHEM-201L-01","59913","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","331","1900/01/01 11:00:00","1900/01/01 14:00:00","","Y","","","","","","W","A","T"
"98595","CHEM-201L-02","59914","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","331","1900/01/01 12:45:00","1900/01/01 15:45:00","","","","Y","","","","W","A","R"
"98597","CHEM-241-A","59915","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","262","1900/01/01 09:15:00","1900/01/01 10:15:00","Y","","Y","","Y","","","W","A","MWF"
"98598","CHEM-241-B","59916","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","262","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"98599","CHEM-241L-01","59917","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","357","1900/01/01 11:00:00","1900/01/01 14:00:00","","Y","","","","","","W","A","T"
"98600","CHEM-241L-02","59918","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","357","1900/01/01 14:30:00","1900/01/01 17:30:00","","Y","","","","","","W","A","T"
"98601","CHEM-241L-03","59919","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","357","1900/01/01 13:30:00","1900/01/01 16:30:00","","","Y","","","","","W","A","W"
"98602","CHEM-241L-04","59920","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","357","1900/01/01 11:00:00","1900/01/01 14:00:00","","","","Y","","","","W","A","R"
"98603","CHEM-241L-05","59921","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","357","1900/01/01 14:30:00","1900/01/01 17:30:00","","","","Y","","","","W","A","R"
"98604","CHEM-344-A","59922","2016/08/31 00:00:00","2016/10/13 00:00:00","VALD","369","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"98605","CHEM-345-A","59923","2016/10/19 00:00:00","2016/12/15 00:00:00","VALD","369","1900/01/01 12:15:00","1900/01/01 13:15:00","Y","","Y","","Y","","","W","A","MWF"
"98606","CHEM-351-A","59924","2016/10/19 00:00:00","2016/12/15 00:00:00","VALD","369","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"98607","CHEM-362-A","59925","2016/08/31 00:00:00","2016/10/13 00:00:00","VALD","369","1900/01/01 11:00:00","1900/01/01 12:00:00","Y","","Y","","Y","","","W","A","MWF"
"98608","CHEM-365-A","59926","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","334","1900/01/01 13:30:00","1900/01/01 16:30:00","Y","","Y","","","","","W","A","MW"
"98609","CHEM-366-A","59927","2016/08/31 00:00:00","2016/12/15 00:00:00","SAMP","334","1900/01/01 12:45:00","1900/01/01 15:45:00","","Y","","Y","","","","W","A","TR"
"98610","CHEM-490L-01","59928","2016/08/31 00:00:00","2016/12/15 00:00:00","ARR","ARR","","","","","","","","","","W","A",""
"99425","CHEM-372-A","59929","2016/10/19 00:00:00","2016/12/15 00:00:00","VALD","367","1900/01/01 08:00:00","1900/01/01 09:30:00","","Y","","Y","","","","W","A","TR"
"99426","SCI-125-A","59930","2016/08/31 00:00:00","2016/12/15 00:00:00","VALD","367","1900/01/01 11:00:00","1900/01/01 12:30:00","","Y","","Y","","","","W","A","TR"
"98894","MUS-115-A","59931","2016/08/31 00:00:00","2016/12/15 00:00:00","JENS","174","1900/01/01 11:00:00","1900/01/01 11:40:00","Y","","Y","","","","","W","A","MW"
"98895","MUS-115-B","59932","2016/08/31 00:00:00","2016/12/15 00:00:00","JENS","174","1900/01/01 14:30:00","1900/01/01 15:10:00","","Y","","Y","","","","W","A","TR"
